"subject","LVF","RVF"
"s02",-0.0331653282137087,-0.140367444709099
"s03",-0.123520020658483,-0.265686208488581
"s05",0.0491765077007288,-0.0592774678414914
"s06",-0.0192576206664429,-0.149975503587034
"s07",-0.147532663569128,-0.202019978338881
"s08",0.136116971650889,0.093112052775393
"s09",-0.165226150716933,-0.200302611052068
"s10",0.138289947620872,0.0526852957429782
"s12",-0.0739721167086324,-0.152140313592915
"s13",-0.158649504502033,-0.190452605630653
"s14",-0.024421527525336,0.00385371916383333
"s15",-0.107698448271658,-0.0512701832441958
"s16",-0.0664504172163867,-0.155307977770407
"s17",-0.0358301845951108,0.0543826440914949
"s18",-0.0614045474761132,-0.108597496636754
"s19",-0.0047487264347571,-0.0308509008973897
"s20",0.0653207703651722,0.121792330652488
"s21",-0.0666667026706903,-0.0787492215691213
"s23",-0.335814255798983,-0.247344182058253
"s25",0.0407539979534255,0.145899347515291
"s26",-0.173201717983962,-0.0428820056972882
"s27",0.0488854785245525,0.174150704689498
"s28",-0.0914357990005292,-0.0910182488283703
"s29",-0.253925759452403,-0.176398594627496
"s30",-0.129040109012497,-0.122908943706127
"s31",0.07662093996164,-0.0396122083973266
"s32",-0.282674967221394,-0.238876757692643
"s33",-0.256482925291862,-0.357559459028669
"s34",-0.406660397537122,-0.254072844228338
"s35",0.0666602610205136,-0.188907262439993
"s36",-0.242393095232485,-0.241268623001546
"s37",-0.0214521045574899,-0.192472298497955
"s38",-0.188853945913292,-0.213965289423925
"s39",-0.140091554103326,-0.305691657584102
"s40",0.0493158715603187,-0.0430645299402449
"s41",-0.081167654022996,-0.143086641007791
"s43",-0.124600107450484,-0.0603701484680259
"s45",-0.140185269724004,-0.0780849976611684
"s46",-0.0260312145422939,-0.149505952924324
"s47",-0.000820639369680352,-0.16854613089134
"s48",-0.177960040110036,-0.223973024464448
"s49",-0.205600750022262,-0.149641964630369
"s50",-0.226593950669608,-0.228143687505114
"s51",-0.0300832584151616,-0.144819726276951
"s52",-0.0740813440934057,-0.0468102622617326
"s53",-0.360866557093683,-0.53512444209407
"s54",0.0305526697162376,0.015018259708537
"s55",0.0298474284975392,-0.0416456926133512
"s56",-0.255548459815368,-0.304014804791137
"s57",-0.398051784920416,-0.242416976801234
"s58",-0.18543327143639,-0.109661043608352
"s59",-0.148281036579017,-0.22705348641395
"s60",-0.127533177326892,-0.221595916446885
"s62",-0.154933127690117,-0.106832979871598
"s63",-0.137294121964104,-0.166919481260223
"s64",-0.219552777188343,-0.154336910363373
"s66",-0.118218151148003,-0.145265581516524
"s67",-0.240569295960638,-0.201769931692185
"s68",0.0273619531800226,0.0805712830808883
"s70",-0.24209659852145,-0.0639571684877055
"s71",-0.437789417410639,-0.294854527507793
"s72",-0.133400159085014,-0.0436858454376787
"s73",-0.337295868003272,-0.399694634287279
"s74",-0.0746795481841318,0.0248136709313958
"s75",-0.0217657909880949,-0.0545265170280161
